################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.4641272436857311E-01 a       223     0    12     1     3
 -3.1452574914160834E-02 a       224     0    12     1     4
  5.2882996251735204E-01 a       225     0    12     1     5
  8.6935538982362850E-02 a       226     0    12     1     6
 -4.6962885996830145E-01 a       227     0    12     1     7
  1.9696439482151565E-01 a       228     0    12     1     8
 -9.7497246388579720E-02 a       229     0    12     1     9
 -2.3741609355474333E-01 a       230     0    12     1    10
 -1.0125592928906978E-01 a       231     0    12     1    11
  3.8615711404777731E-01 a       232     0    12     1    12
  3.6326632185632490E-03 a       233     0    12     1    13
  4.1906312156530356E-01 a       234     0    12     1    14
  5.0078298588214643E-01 a       235     0    12     1    15
 -5.0691838811276690E-01 a       236     0    12     1    16
  1.1583848665391770E-01 a       237     0    12     1    17
  2.1226800551683367E-01 a       238     0    12     1    18
 -2.6650408518363464E-02 a       239     0    12     1    19
 -2.9073983279140181E-02 a       240     0    12     1    20
  6.6212506533387793E-03 a       241     0    13     1     1
 -1.6071296329305226E-01 a       242     0    13     1     2
  5.7317897844252730E-01 a       243     0    13     1     3
  3.7085411751590268E-02 a       244     0    13     1     4
  5.0639398871813690E-01 a       245     0    13     1     5
  1.0825563224077557E-02 a       246     0    13     1     6
 -4.4285577712825619E-01 a       247     0    13     1     7
  4.7500424821175544E-02 a       248     0    13     1     8
 -6.3959374194290222E-02 a       249     0    13     1     9
 -3.9233113698064336E-02 a       250     0    13     1    10
 -6.3126657454264925E-03 a       251     0    13     1    11
  2.6101183726619159E-01 a       252     0    13     1    12
 -6.1110562819787731E-02 a       253     0    13     1    13
  2.2516404255493741E-01 a       254     0    13     1    14
  3.6731550956721726E-01 a       255     0    13     1    15
 -4.1190069636720678E-01 a       256     0    13     1    16
 -5.4188694521902121E-02 a       257     0    13     1    17
  2.9571811976560547E-01 a       258     0    13     1    18
 -2.9079401879604660E-01 a       259     0    13     1    19
 -1.0360089242607395E-01 a       260     0    13     1    20
  2.4506242563587555E-01 a       261     0    14     1     1
 -7.0764791704810426E-01 a       262     0    14     1     2
  1.6845908110841049E-01 a       263     0    14     1     3
  2.5482460452368977E-01 a       264     0    14     1     4
 -2.2859537511828634E-02 a       265     0    14     1     5
  2.2480722779789918E-02 a       266     0    14     1     6
 -9.6671291963497594E-03 a       267     0    14     1     7
  4.7366710001732232E-02 a       268     0    14     1     8
 -2.4429596074284224E-01 a       269     0    14     1     9
 -2.7178686475946584E-01 a       270     0    14     1    10
 -8.5705773438317062E-02 a       271     0    14     1    11
  1.0352225830352933E-01 a       272     0    14     1    12
 -4.8437143042872249E-01 a       273     0    14     1    13
  1.6069249181334910E-01 a       274     0    14     1    14
 -1.1084260831766284E-01 a       275     0    14     1    15
  1.5149551642405290E-01 a       276     0    14     1    16
  4.5671930260281318E-01 a       277     0    14     1    17
  2.3565918287391047E-02 a       278     0    14     1    18
  5.7234203449097842E-01 a       279     0    14     1    19
  3.1575589104469975E-01 a       280     0    14     1    20
 -2.0496304457090253E+00 a       281     0    15     1     1
  3.3885462499651271E+00 a       282     0    15     1     2
  4.3593185386401984E-01 a       283     0    15     1     3
 -2.6768356966264240E-01 a       284     0    15     1     4
  1.4103496870154140E+00 a       285     0    15     1     5
 -2.9198643070327353E+00 a       286     0    15     1     6
  7.8063503095629316E-01 a       287     0    15     1     7
  3.1224946734930498E-01 a       288     0    15     1     8
  1.6400516354174399E+00 a       289     0    15     1     9
  5.8083080714656043E-01 a       290     0    15     1    10
 -5.9747785364514394E-01 a       291     0    15     1    11
  7.7078943151728951E-01 a       292     0    15     1    12
  3.1381567968643416E+00 a       293     0    15     1    13
  5.8955272840177464E-01 a       294     0    15     1    14
  1.3584100162538761E+00 a       295     0    15     1    15
  1.1359080927055243E+00 a       296     0    15     1    16
 -5.0143457729461161E-01 a       297     0    15     1    17
 -6.4566492471857106E-01 a       298     0    15     1    18
 -9.2477428437416831E-01 a       299     0    15     1    19
 -1.1462026785430619E+00 a       300     0    15     1    20
 -5.3477843959597871E-01 a       301     0    16     1     1
  1.5130479839586255E+00 a       302     0    16     1     2
 -1.3638398771295965E+00 a       303     0    16     1     3
 -3.5738636190047463E-01 a       304     0    16     1     4
 -1.7178663016976015E+00 a       305     0    16     1     5
  2.1212077233193996E+00 a       306     0    16     1     6
 -1.3930933549956701E+00 a       307     0    16     1     7
  3.7988688811729099E-01 a       308     0    16     1     8
  4.8910169017454058E-01 a       309     0    16     1     9
  1.7857861200519773E+00 a       310     0    16     1    10
  1.3938579380751756E-01 a       311     0    16     1    11
 -1.5701098783467442E+00 a       312     0    16     1    12
  1.2821067244533666E+00 a       313     0    16     1    13
 -2.7809655852586666E+00 a       314     0    16     1    14
 -1.5423961301612414E+00 a       315     0    16     1    15
 -8.3997834211670341E-01 a       316     0    16     1    16
 -3.0446651025627036E-01 a       317     0    16     1    17
 -6.9477811205032969E-01 a       318     0    16     1    18
 -4.5922270234499035E-01 a       319     0    16     1    19
 -5.1722093674898306E-01 a       320     0    16     1    20
  5.2209819300260907E-01 a       321     0    17     1     1
  1.9021539488608161E+00 a       322     0    17     1     2
 -2.1149270474793341E-01 a       323     0    17     1     3
  4.2878687390764564E-01 a       324     0    17     1     4
 -1.4536733085023228E+00 a       325     0    17     1     5
  1.1572950107755728E+00 a       326     0    17     1     6
 -1.7753000267707153E+00 a       327     0    17     1     7
  1.1384952710425345E+00 a       328     0    17     1     8
  5.1831719375874837E-02 a       329     0    17     1     9
  2.1316439734749539E+00 a       330     0    17     1    10
  8.5900603348712778E-01 a       331     0    17     1    11
 -7.4861718321596959E-01 a       332     0    17     1    12
  1.2812551685750102E+00 a       333     0    17     1    13
 -1.7186735355371709E+00 a       334     0    17     1    14
 -1.5109812772940368E+00 a       335     0    17     1    15
 -7.8506181134079767E-01 a       336     0    17     1    16
  6.8619555461245352E-01 a       337     0    17     1    17
  4.9128973142351778E-01 a       338     0    17     1    18
 -1.9014130061319070E+00 a       339     0    17     1    19
 -5.5473267689535155E-01 a       340     0    17     1    20
  1.6830569386908156E+00 a       341     0    18     1     1
  6.8687619063666683E-01 a       342     0    18     1     2
 -5.2726846492789067E-02 a       343     0    18     1     3
  7.6573010659383189E-01 a       344     0    18     1     4
 -5.6402456573034399E-01 a       345     0    18     1     5
  5.7468328961760529E-01 a       346     0    18     1     6
 -8.8062524854759472E-01 a       347     0    18     1     7
  3.1655469982232148E-01 a       348     0    18     1     8
 -5.8257804608304842E-01 a       349     0    18     1     9
  5.1441037689847557E-01 a       350     0    18     1    10
  4.9899056547275217E-01 a       351     0    18     1    11
 -5.1886802027326195E-01 a       352     0    18     1    12
 -6.0649762803998850E-02 a       353     0    18     1    13
 -3.5814300990626841E-01 a       354     0    18     1    14
 -1.1991220818131241E+00 a       355     0    18     1    15
 -3.6994431825013829E-01 a       356     0    18     1    16
  1.2327025372973917E+00 a       357     0    18     1    17
  9.2360105572718199E-01 a       358     0    18     1    18
 -1.8307817824136459E+00 a       359     0    18     1    19
  2.8497582524295839E-01 a       360     0    18     1    20
  1.8102220336659203E+00 a       361     0    19     1     1
 -5.2415519229481522E-01 a       362     0    19     1     2
  8.1004328277289517E-01 a       363     0    19     1     3
  7.2697399870199075E-01 a       364     0    19     1     4
  5.2127094112042327E-01 a       365     0    19     1     5
  2.6703954087086118E-01 a       366     0    19     1     6
 -1.0011686617217026E+00 a       367     0    19     1     7
 -1.9322025209732313E-01 a       368     0    19     1     8
 -2.3423152849134582E-01 a       369     0    19     1     9
 -4.4943334343354228E-02 a       370     0    19     1    10
 -1.1659543586173599E-01 a       371     0    19     1    11
 -5.4374807556552518E-01 a       372     0    19     1    12
 -3.1557433781710648E-01 a       373     0    19     1    13
  4.4636364713972104E-01 a       374     0    19     1    14
 -7.6989862563639333E-01 a       375     0    19     1    15
 -5.9932469868599979E-02 a       376     0    19     1    16
  7.1526346794422491E-01 a       377     0    19     1    17
  7.6006546951507148E-01 a       378     0    19     1    18
  3.8632501962345756E-01 a       379     0    19     1    19
  2.5035702488505746E-01 a       380     0    19     1    20
  9.0988837038311399E-01 a       381     0    20     1     1
 -8.7735656609402712E-01 a       382     0    20     1     2
  8.7653313276519296E-01 a       383     0    20     1     3
  6.8029880263612141E-01 a       384     0    20     1     4
  6.0533699131177998E-01 a       385     0    20     1     5
  4.4227856538056082E-01 a       386     0    20     1     6
 -8.9084097603910850E-01 a       387     0    20     1     7
 -1.2745222069612575E-01 a       388     0    20     1     8
 -3.6746777573886236E-01 a       389     0    20     1     9
  1.1714568403374019E-01 a       390     0    20     1    10
 -3.2674357758912453E-01 a       391     0    20     1    11
 -3.7880972915868993E-01 a       392     0    20     1    12
 -1.2582553820310624E-01 a       393     0    20     1    13
  8.6367341800629216E-01 a       394     0    20     1    14
 -5.8216453295317105E-01 a       395     0    20     1    15
  2.7900424654912870E-01 a       396     0    20     1    16
  4.8100012391836006E-01 a       397     0    20     1    17
  2.5317664189478450E-01 a       398     0    20     1    18
  1.2904302171261035E+00 a       399     0    20     1    19
  1.6870223218113720E-01 a       400     0    20     1    20
  2.0183282739055605E-01 a       401     0    21     1     1
  5.8994683538541690E-02 a       402     0    21     1     2
 -1.0093599195990910E-01 a       403     0    21     1     3
  6.1602530982785408E-01 a       404     0    21     1     4
  2.5860534309764976E-01 a       405     0    21     1     5
  3.7661811013087054E-01 a       406     0    21     1     6
  1.9587313369407694E-02 a       407     0    21     1     7
  4.6589690475864309E-02 a       408     0    21     1     8
  4.5291601095855266E-01 a       409     0    21     1     9
  1.6009652982240391E-01 a       410     0    21     1    10
 -1.8472435590670094E-01 a       411     0    21     1    11
 -3.3983793689909991E-01 a       412     0    21     1    12
  5.2342791706962322E-01 a       413     0    21     1    13
 -9.8245663230994074E-01 a       414     0    21     1    14
 -3.4506499351809822E-01 a       415     0    21     1    15
  1.9984002333525125E-01 a       416     0    21     1    16
 -4.3441711581641962E-01 a       417     0    21     1    17
 -7.2575051622249989E-02 a       418     0    21     1    18
  4.4392893138976935E-01 a       419     0    21     1    19
 -2.5947631843995806E-02 a       420     0    21     1    20
  1.3059107030564227E-01 a       421     0    22     1     1
  1.6746188446709692E-01 a       422     0    22     1     2
  2.0466038375004164E-01 a       423     0    22     1     3
 -1.8244926867851563E+00 a       424     0    22     1     4
 -6.3134687872179784E-01 a       425     0    22     1     5
 -1.9157015168190443E+00 a       426     0    22     1     6
  1.1576879336428583E+00 a       427     0    22     1     7
 -2.9675474004870476E-02 a       428     0    22     1     8
 -5.3249602388659445E-01 a       429     0    22     1     9
 -5.3299094219930443E-01 a       430     0    22     1    10
  8.0385053394281286E-02 a       431     0    22     1    11
  2.1823982195511463E-01 a       432     0    22     1    12
 -5.2286699230837785E-01 a       433     0    22     1    13
  1.3946864266013854E+00 a       434     0    22     1    14
  4.9004560580287654E-01 a       435     0    22     1    15
  3.1458876811599523E-01 a       436     0    22     1    16
  7.9934608377012650E-01 a       437     0    22     1    17
 -1.2103559028783321E-01 a       438     0    22     1    18
 -5.9073678803084395E-01 a       439     0    22     1    19
  1.2923552901362229E-01 a       440     0    22     1    20
  6.6641232885848367E-01 a       441     0    23     1     1
 -3.9394246834165609E+00 a       442     0    23     1     2
 -2.1046118175835954E-01 a       443     0    23     1     3
  1.1513533266168423E+00 a       444     0    23     1     4
 -1.3648605271649288E+00 a       445     0    23     1     5
  5.4977984228195496E+00 a       446     0    23     1     6
 -3.0238210232236513E+00 a       447     0    23     1     7
 -3.9803354197134255E-01 a       448     0    23     1     8
 -1.2178457983036322E+00 a       449     0    23     1     9
  6.4911680055775822E-01 a       450     0    23     1    10
  7.5238541304456585E-01 a       451     0    23     1    11
 -9.8590175093826238E-01 a       452     0    23     1    12
 -2.6275414192765756E+00 a       453     0    23     1    13
 -1.2786821606677115E-01 a       454     0    23     1    14
 -1.7924926818308125E+00 a       455     0    23     1    15
 -1.9212826670133261E+00 a       456     0    23     1    16
 -4.5711927062181706E-01 a       457     0    23     1    17
  7.4728230124188277E-01 a       458     0    23     1    18
  1.2792448557866476E+00 a       459     0    23     1    19
  3.8689733861932041E-01 a       460     0    23     1    20
  1.8122985049173546E+00 a       461     0    24     1     1
 -3.0904792271268233E-01 a       462     0    24     1     2
 -1.3531267043328957E-01 a       463     0    24     1     3
  7.4363400469704211E-01 a       464     0    24     1     4
  1.3360786782540601E+00 a       465     0    24     1     5
 -2.3046206550303237E+00 a       466     0    24     1     6
  1.5979962351867834E+00 a       467     0    24     1     7
  4.1334311194371136E-02 a       468     0    24     1     8
 -4.3393235383114076E-01 a       469     0    24     1     9
 -1.5635169946388181E+00 a       470     0    24     1    10
 -4.0440521449022687E-02 a       471     0    24     1    11
  4.2064253155322695E-01 a       472     0    24     1    12
 -6.8164701725669763E-01 a       473     0    24     1    13
 -7.9177404399469764E-01 a       474     0    24     1    14
  8.6430269233327828E-01 a       475     0    24     1    15
  6.1831435761960840E-01 a       476     0    24     1    16
  6.5962533022162748E-02 a       477     0    24     1    17
