################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.6030594234275925E-02 a       147     0     8     1     7
  1.2720949518017338E-01 a       148     0     8     1     8
 -2.5147767281928957E-01 a       149     0     8     1     9
 -3.7849105783242465E-01 a       150     0     8     1    10
 -9.4084148120159569E-02 a       151     0     8     1    11
 -1.9166616640114165E-01 a       152     0     8     1    12
  3.7749562523186745E-03 a       153     0     8     1    13
 -2.0429047367350858E-01 a       154     0     8     1    14
  1.8381852475593824E-01 a       155     0     8     1    15
 -2.3464744088212647E-01 a       156     0     8     1    16
 -9.6126141509820989E-02 a       157     0     8     1    17
 -2.1003799310821411E-01 a       158     0     8     1    18
 -1.2176272518383012E-01 a       159     0     8     1    19
 -2.5233762493211565E-01 a       160     0     8     1    20
  3.1537844435542119E-02 a       161     0     9     1     1
  6.2297001387118620E-02 a       162     0     9     1     2
 -4.4606283853980355E-02 a       163     0     9     1     3
  7.2190174231883508E-02 a       164     0     9     1     4
  1.0415489161902752E-01 a       165     0     9     1     5
 -1.9763868145415453E-01 a       166     0     9     1     6
 -2.4763623547738398E-01 a       167     0     9     1     7
  4.6800773274784151E-02 a       168     0     9     1     8
 -2.3758926670742317E-01 a       169     0     9     1     9
 -3.8407577910012508E-01 a       170     0     9     1    10
  1.5801404880868279E-02 a       171     0     9     1    11
  2.6817707230375426E-01 a       172     0     9     1    12
  3.8992963814403064E-01 a       173     0     9     1    13
  1.3885134620213518E-01 a       174     0     9     1    14
  4.2224243785922572E-02 a       175     0     9     1    15
 -1.2774577707233726E-03 a       176     0     9     1    16
  9.2556532596745955E-02 a       177     0     9     1    17
  9.9001587093173873E-02 a       178     0     9     1    18
 -1.3285653607126285E-01 a       179     0     9     1    19
  1.4513933905872498E-01 a       180     0     9     1    20
  9.1684454776132684E-01 a       181     0    10     1     1
  1.9872958619960993E-01 a       182     0    10     1     2
  1.0907609040223014E+00 a       183     0    10     1     3
